Rank,Candidate ID,Score,Skill Coverage
1,CAND_0033851,0.6650,2
2,CAND_0045665,0.6550,2
3,CAND_0019372,0.6450,2
4,CAND_0030060,0.6450,2
5,CAND_0046417,0.6450,2
6,CAND_0049757,0.6450,1
7,CAND_0018874,0.6400,1
8,CAND_0002160,0.6350,2
9,CAND_0030409,0.6350,1
10,CAND_0008912,0.6300,1
11,CAND_0019240,0.6300,2
12,CAND_0020298,0.6300,1
13,CAND_0023087,0.6300,1
14,CAND_0039017,0.6300,1
15,CAND_0005461,0.6250,2
16,CAND_0009148,0.6250,2
17,CAND_0018552,0.6250,1
18,CAND_0021394,0.6250,1
19,CAND_0038806,0.6250,1
20,CAND_0041290,0.6250,2
21,CAND_0017790,0.6200,1
22,CAND_0002035,0.6150,1
23,CAND_0004039,0.6150,1
24,CAND_0011967,0.6150,2
25,CAND_0025264,0.6150,1
26,CAND_0035653,0.6150,2
27,CAND_0038863,0.6150,2
28,CAND_0038930,0.6150,1
29,CAND_0047141,0.6150,2
30,CAND_0003739,0.6100,2
31,CAND_0004281,0.6100,2
32,CAND_0004678,0.6100,2
33,CAND_0015459,0.6100,1
34,CAND_0020243,0.6100,1
35,CAND_0026583,0.6100,1
36,CAND_0034373,0.6100,1
37,CAND_0035721,0.6100,1
38,CAND_0037561,0.6100,1
39,CAND_0045995,0.6100,1
40,CAND_0047375,0.6100,2
41,CAND_0048791,0.6100,1
42,CAND_0049321,0.6100,2
43,CAND_0001344,0.6050,1
44,CAND_0004930,0.6050,1
45,CAND_0006958,0.6050,1
46,CAND_0025870,0.6050,1
47,CAND_0027391,0.6050,1
48,CAND_0033105,0.6050,1
49,CAND_0040097,0.6050,1
50,CAND_0040192,0.6050,1
